Date,Open,High,Low,Close,Volume,Adj Close
2011-10-05,78.76,83.21,78.0,82.9,4185500,69.26
2011-10-06,83.2,86.42,82.43,86.23,4837700,72.04
2011-10-07,87.02,87.02,84.02,84.84,4442100,70.88
2011-10-10,86.72,88.84,86.72,88.58,2644600,74.0
2011-10-11,87.81,89.18,86.29,86.98,2605400,72.66
2011-10-12,88.18,89.57,86.75,87.93,3042700,73.46
2011-10-13,87.15,87.7,84.78,87.11,2236800,72.77
2011-10-14,88.24,91.38,87.92,91.36,2932700,76.32
2011-10-17,90.41,91.79,87.74,87.93,3128400,73.46
2011-10-18,88.29,90.9,87.22,90.41,4677900,75.53
2011-10-19,89.93,92.04,89.47,90.16,2854100,75.45
2011-10-20,90.26,91.7,89.08,91.29,2756200,76.39
2011-10-21,92.42,94.75,91.99,94.73,4130700,79.27
2011-10-24,96.06,97.49,94.7,97.27,4047500,81.4
2011-10-25,96.94,96.94,93.68,94.53,3121400,79.1
2011-10-26,96.38,97.94,93.84,97.36,2837600,81.47
2011-10-27,100.65,104.06,100.25,102.84,4051800,86.06
2011-10-28,102.0,105.23,101.23,104.99,3073600,87.86
2011-10-31,103.09,103.09,99.57,99.63,3560400,83.37
2011-11-01,95.35,96.42,93.83,94.13,5278200,78.77
2011-11-02,97.03,98.48,96.1,98.36,2913400,82.31
2011-11-03,102.24,102.5,98.36,101.6,3460000,85.02
2011-11-04,100.99,101.13,98.82,100.2,2456400,83.85
2011-11-07,100.31,101.85,99.4,101.47,1825200,84.91
2011-11-08,103.27,104.9,101.9,104.63,3201800,87.55
2011-11-09,101.02,102.59,99.54,99.78,4085300,83.5
2011-11-10,102.17,102.88,99.58,101.54,2391700,84.97
2011-11-11,102.99,104.82,102.67,104.71,2354700,87.62
2011-11-14,103.84,104.51,102.18,103.12,2119900,86.29
2011-11-15,102.59,104.09,101.89,103.43,2050900,86.55
2011-11-16,102.42,105.64,101.63,102.54,2679400,85.81
2011-11-17,102.5,102.77,96.87,98.0,3664800,82.01
2011-11-18,98.77,100.52,97.61,98.56,3206300,82.48
2011-11-21,95.75,96.06,93.56,95.41,3129900,79.84
2011-11-22,94.51,94.77,90.18,92.47,5881000,77.38
2011-11-23,90.9,91.38,88.09,88.14,4273800,73.76
2011-11-25,87.64,88.48,86.74,86.83,1279000,72.66
2011-11-28,90.73,91.77,89.84,90.87,2969800,76.04
2011-11-29,91.48,94.09,90.87,92.96,2605000,77.79
2011-11-30,97.3,99.94,97.3,99.44,4291500,83.21
2011-12-01,99.0,100.95,97.95,98.48,2584700,82.41
2011-12-02,100.0,100.16,96.26,96.47,3921100,80.73
2011-12-05,98.6,98.97,96.15,96.91,3042200,81.09
2011-12-06,96.8,98.42,95.57,97.38,2951100,81.49
2011-12-07,96.98,98.15,95.84,97.27,2850700,81.4
2011-12-08,96.44,97.18,93.5,93.72,2903900,78.42
2011-12-09,94.43,97.81,93.9,97.48,2387500,81.57
2011-12-12,95.77,95.97,92.83,93.94,2499800,78.61
2011-12-13,94.6,96.82,91.4,92.33,3128100,77.26
2011-12-14,90.41,90.41,87.5,87.69,4137000,73.38
2011-12-15,89.18,90.36,87.73,88.15,3076200,73.76
2011-12-16,89.36,90.12,87.51,88.74,3576300,74.26
2011-12-19,89.28,89.3,85.5,85.76,2767000,71.76
2011-12-20,87.98,89.36,87.96,88.46,3194500,74.02
2011-12-21,88.37,89.84,87.4,89.63,3027300,75.0
2011-12-22,90.03,91.08,90.03,90.61,1900900,75.82
2011-12-23,90.65,91.24,90.45,91.17,1100800,76.29
2011-12-27,90.93,91.47,90.3,90.76,1515400,75.95
2011-12-28,91.0,91.31,88.3,88.52,1663600,74.07
2011-12-29,88.79,90.1,88.48,89.98,1915700,75.3
2011-12-30,89.49,90.91,89.06,90.58,2110500,75.8
2012-01-03,93.94,96.59,93.07,95.93,3571600,80.27
2012-01-04,95.42,96.54,94.84,96.42,3144200,80.68
2012-01-05,95.97,97.45,95.56,97.17,3574600,81.31
2012-01-06,97.47,97.54,96.8,97.04,2414000,81.2
2012-01-09,97.44,98.9,96.91,98.84,2850900,82.71
2012-01-10,101.24,101.24,97.68,98.09,3296600,82.08
2012-01-11,97.77,97.97,96.0,96.24,3096500,80.53
2012-01-12,96.35,96.47,92.93,94.3,4910800,78.91
2012-01-13,93.02,93.98,91.48,92.84,3012900,77.69
2012-01-17,93.99,94.95,93.47,94.67,2451700,79.22
2012-01-18,94.84,96.27,94.08,95.43,2902200,79.86
2012-01-19,95.94,97.44,95.62,97.16,3705600,81.43
2012-01-20,97.02,97.1,95.12,96.8,4422800,81.13
2012-01-23,97.63,99.0,96.34,98.38,4801300,82.45
2012-01-24,97.49,97.92,96.05,97.71,2629100,81.89
2012-01-25,97.55,99.97,95.77,99.83,3657700,83.67
2012-01-26,100.8,100.95,97.31,97.91,3117800,82.06
2012-01-27,97.23,98.45,97.04,98.0,1837400,82.14
2012-01-30,97.04,98.9,96.0,98.86,2415600,82.86
2012-01-31,100.32,100.5,98.3,98.88,2617500,82.87
2012-02-01,100.2,100.4,99.01,99.41,2990600,83.32
2012-02-02,99.54,100.25,98.45,99.55,2330500,83.43
2012-02-03,101.46,102.08,100.46,101.15,3520500,84.78
2012-02-06,100.66,103.01,99.65,102.92,3036300,86.26
2012-02-07,103.01,104.63,101.42,104.53,3603700,87.61
2012-02-08,104.52,105.53,103.8,105.11,3167900,88.09
2012-02-09,105.73,107.5,105.4,106.68,3170700,89.41
2012-02-10,104.96,105.88,104.24,105.13,2550500,88.11
2012-02-13,106.8,107.37,105.8,106.25,2700700,89.05
2012-02-14,106.55,108.11,106.38,107.31,3209300,89.94
2012-02-15,107.51,108.65,106.9,107.67,3549300,90.24
2012-02-16,107.76,108.75,105.24,107.61,4362800,90.19
2012-02-17,109.56,110.19,108.26,109.45,4364800,91.73
2012-02-21,109.89,110.75,109.08,109.96,2726400,92.16
2012-02-22,110.81,112.02,110.1,110.13,3179500,92.3
2012-02-23,110.6,110.98,108.7,109.92,2410100,92.13
2012-02-24,110.6,112.09,110.33,111.57,2406100,93.51
2012-02-27,110.86,111.24,109.25,110.03,2344400,92.22
2012-02-28,110.67,111.31,109.04,109.59,2271200,91.85
2012-02-29,109.9,110.48,107.58,107.93,2829300,90.46
2012-03-01,108.45,109.34,108.1,109.15,2536800,91.48
2012-03-02,109.13,109.3,106.25,106.45,2377800,89.22
2012-03-05,106.24,107.02,104.76,106.93,2812300,89.62
2012-03-06,104.71,105.49,102.5,103.31,3856600,86.59
2012-03-07,104.01,106.45,103.32,105.63,3099800,88.53
2012-03-08,106.73,107.9,105.67,107.5,1902300,90.1
2012-03-09,108.13,108.75,106.85,107.45,2251500,90.06
2012-03-12,107.42,107.42,105.27,106.4,2356500,89.18
2012-03-13,107.01,108.19,105.75,108.06,2414400,90.57
2012-03-14,107.74,108.33,106.54,106.99,2043600,89.67
2012-03-15,107.28,107.82,105.8,106.97,2284300,89.65
2012-03-16,107.37,109.5,107.08,108.98,2922500,91.34
2012-03-19,107.91,109.1,107.37,108.6,2343100,91.02
2012-03-20,107.17,107.38,105.32,105.61,2772700,88.51
2012-03-21,105.7,106.08,103.32,103.48,3778900,86.73
2012-03-22,102.36,102.78,100.51,100.9,3723000,84.57
2012-03-23,101.33,102.86,100.27,101.76,2980500,85.29
2012-03-26,102.42,103.15,100.29,101.04,3703400,84.68
2012-03-27,101.42,102.16,100.52,101.38,2687400,84.97
2012-03-28,100.91,101.25,98.5,98.98,3151400,82.96
2012-03-29,98.32,99.13,97.14,98.81,3045100,82.81
2012-03-30,99.62,100.7,99.11,100.44,2388600,84.18
2012-04-02,100.4,102.13,99.69,100.97,2528500,84.62
2012-04-03,100.58,100.94,98.45,99.23,2846100,83.17
2012-04-04,98.01,98.19,96.5,97.54,3081600,81.75
2012-04-05,97.02,98.08,95.69,95.87,2848700,80.35
2012-04-09,94.29,95.29,93.57,94.58,2452700,79.27
2012-04-10,94.3,94.83,93.02,93.5,2389200,78.36
2012-04-11,94.7,94.85,92.65,92.81,2458000,77.79
2012-04-12,93.25,95.18,92.54,94.9,2079000,79.54
2012-04-13,94.69,94.87,93.31,93.65,2499300,78.49
2012-04-16,94.16,94.68,91.8,92.27,2961600,77.33
2012-04-17,93.19,94.75,92.9,94.55,2299900,79.24
2012-04-18,94.07,94.44,91.94,92.3,2804400,77.36
2012-04-19,93.12,93.57,91.52,92.11,2783400,77.34
2012-04-20,93.14,93.86,91.45,91.47,2315400,76.8
2012-04-23,90.6,91.5,89.88,90.96,3096300,76.38
2012-04-24,91.15,91.75,90.25,91.26,2499800,76.63
2012-04-25,92.21,93.42,91.92,93.37,3031900,78.4
2012-04-26,92.77,94.83,92.55,94.79,2854100,79.59
2012-04-27,94.92,95.28,94.37,94.91,2404200,79.69
2012-04-30,94.75,96.09,94.45,95.94,2185000,80.56
2012-05-01,96.38,98.2,95.8,97.77,3208800,82.09
2012-05-02,96.88,97.22,95.29,95.54,2953100,80.22
2012-05-03,93.69,94.03,91.46,91.96,4715500,77.22
2012-05-04,90.73,90.82,88.85,89.06,4412000,74.78
